Variable accession,Variable name,Variable description,Type,Dataset accession,Dataset name,Study,Database
phv00219003,imgrana5,IMMATURE GRANULOCYTES (ABSOLUTE) (x10E3/uL),NUMERIC,pht004319,MESA_AncilMesaEpigenomicCBC,phs000209,mesa
phv00165061,sidno,SHARE ID NUMBER,Numeric,pht002515,MESA_AncilMesaFetuinA,phs000209,mesa
phv00165062,calc1a,CALCIUM (mg/dL),Numeric,pht002515,MESA_AncilMesaFetuinA,phs000209,mesa
phv00165063,fetu1a,FETUIN A (g/L),Numeric,pht002515,MESA_AncilMesaFetuinA,phs000209,mesa
phv00165064,phoadj1a,ADJUSTED PHOSPHOROUS (PHOSPHOROUS + 0.2218) (mg/dL),Numeric,pht002515,MESA_AncilMesaFetuinA,phs000209,mesa
phv00165065,cvdh1a,"CARDIOVASCULAR DISEASE (CVD), HARD",Numeric,pht002515,MESA_AncilMesaFetuinA,phs000209,mesa
phv00165066,cachrt1a,RANDOM COHORT AND CASES NOT IN COHORT,Numeric,pht002515,MESA_AncilMesaFetuinA,phs000209,mesa
phv00165067,indm1a,"INCIDENT DIABETES MELLITUS EXAM 2, 3, 4",Numeric,pht002515,MESA_AncilMesaFetuinA,phs000209,mesa
phv00196319,sidno,SHARE ID Number,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00196320,cenid5,Census tract fake id (based on 2000 census tract),Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00196323,tl1_aq_1mile_n5,Timeline #1 Aesthetic Quality 1-mile neighbor crude mean n per 1mile - common questions,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00196325,tl1_sf_1mile_n5,Timeline #1 Safety 1-mile neighbor crude mean n per 1mile - common questions,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00196326,tl1_sc_ceb5,Timeline #1 Social Cohesion CEB estimate,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00196328,tl1_sc_1mile_n5,Timeline #1 Social Cohesion 1-mile neighbor crude mean n per 1mile,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00196321,k1soc5,1 mile kernel SOCIAL ENGAGEMENT,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00196322,tl1_aq_1mile5,Timeline #1 Aesthetic Quality 1-mile neighbor crude mean - common questions,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00196324,tl1_sf_1mile5,Timeline #1 Safety 1-mile neighbor crude mean - common questions,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00196327,tl1_sc_1mile5,Timeline #1 Social Cohesion 1-mile neighbor crude mean,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218267,k1ffc5,1 mile kernel FAST FOOD CHAIN,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218268,k1ffall5,1 mile kernel FAST FOOD ALL,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218269,k3ffc5,3 mile kernel FAST FOOD CHAIN,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218270,k3pai5,3 mile kernel TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL+INSTRUCTIONAL+WATER,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218271,k3ffall5,3 mile kernel FAST FOOD ALL,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218272,k3fav5,3 mile kernel FAVORABLE FOOD STORES,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218273,s1ffc5,1 mile simple FAST FOOD CHAIN,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218274,s1pai5,1 mile simple TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL+INSTRUCTIONAL+WATER,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218275,s1ffall5,1 mile simple FAST FOOD ALL,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218276,s1fav5,1 mile simple FAVORABLE FOOD STORES,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218277,s3ffc5,3 mile simple FAST FOOD CHAIN,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218278,s3pai5,3 mile simple TOTAL PHYSICAL ACTIVITIES+INSTRUCTIONAL+INSTRUCTIONAL+WATER,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218279,s3ffall5,3 mile simple FAST FOOD ALL,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218280,s3fav5,3 mile simple FAVORABLE FOOD STORES,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218281,popdenmi15,Population density per square mile in 1 mile buffer,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218282,race_blacknh5,% black non-hispanic,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218283,educ_minhs5,% 25+ with minimum High School education,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218284,educ_minba5,% 25+ with minimum bachelor degree,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218285,inc_medhh5,Median Household income,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218286,inc_pubass5,% with public assistance,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218287,pov5,% below poverty,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218288,tl1_we_1mile5,Timeline #1 Walking Environment 1-mile neighbor crude mean - common questions,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218289,tl1_hf_1mile5,Timeline #1 Healthy Food 1-mile neighbor crude mean - common questions,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218290,s1fdenv_1mile5,Healthy food environment - simple density and 1 mile scale,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218291,s1fdenv_ceb5,Healthy food environment - simple density and CEB estimate,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218292,s1paenv_1mile5,Physical activity environment no parks - simple density and 1 mile scale,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00218293,s1paenv_ceb5,Physical activity environment no parks - simple density and CEB estimate,Numeric,pht003604,MESA_AncilMesaNeighborScalesExam5,phs000209,mesa
phv00085750,fhxID,RECORD INDICATOR FOR USE WITH IDNO WHEN REQUESTING INVESTIGATION OF VALUES,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085751,sidno,SHARE ID NUMBER,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085752,fhxRel2,RELATIONSHIP TO MESA PARTICIPANT,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085753,fhxbrel2,BLOOD RELATION INDICATOR,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085754,fhxsex2,SEX INDICATOR OF FAMILY MEMBER,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085755,fhxage2,AGE OF FAMILY MEMBER,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085756,fhxmi2,HISTORY OF HEART ATTACK INDICATOR,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085757,fhxmia2,AGE OF FIRST MI DX,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085758,fhxcrd2,HISTORY OF CARDIAC PROCEDURE INDICATOR,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085759,fhxcrda2,AGE OF FIRST CARDIAC PROCEDURE OCCURRENCE,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085760,fhxstk2,HISTORY OF STROKE INDICATOR,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085761,fhxstka2,AGE OF FIRST STROKE DX,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085762,fhxhbp2,HISTORY OF HYPERTENSION INDICATOR,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085763,fhxhbpa2,AGE OF FIRST HYPERTENSION DX,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085764,fhxdb2,HISTORY OF DIABETES INDICATOR,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085765,fhxdba2,AGE OF FIRST DIABETES DX,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085766,fhxcnc2,HISTORY OF CANCER INDICATOR,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085767,fhxcnca2,AGE OF FIRST CANCER DX,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085768,fhxhd2,HISTORY OF OTHER HEART DISEASE INDICATOR,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085769,fhxhda2,AGE OF FIRST OTHER HEART DISEASE DX,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085770,fhxast2,HISTORY OF ASTHMA INDICATOR,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00085771,fhxasta2,AGE OF FIRST ASTHMA DX OR OCCURRENCE,NUMERIC,pht001117,MESA_Exam2FamilyHx,phs000209,mesa
phv00191785,sidno,SHARE ID NUMBER,Numeric,pht003375,MESA_AncilMesaApolipoproteinA1,phs000209,mesa
phv00191786,apoba1d1,APO-A1 DIAZYME (MG/DL): ANALYSIS PERFORMED USING DIAZYME REAGENT IN REMALEY LABORATORY,Numeric,pht003375,MESA_AncilMesaApolipoproteinA1,phs000209,mesa
phv00165059,sidno,SHARE ID NUMBER,Numeric,pht002514,MESA_AncilMesaVitaminD,phs000209,mesa
phv00165060,vitd251,25-HYDROXY VITAMIN D,Numeric,pht002514,MESA_AncilMesaVitaminD,phs000209,mesa
phv00163139,sidno,SHARE ID NUMBER,Numeric,pht002388,MESA_AncilMesaCG,phs000209,mesa
phv00163140,cgppt,SELECTED FOR CANDIDATE GENE STUDY,Numeric,pht002388,MESA_AncilMesaCG,phs000209,mesa
phv00111955,sidno,SHARE ID NUMBER,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111956,rsurf4,RIGHT SURFACE,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111957,rmorph4,RIGHT MORPHOLOGY,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111958,rsten4,RIGHT STENOSIS,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111959,rloc4,RIGHT LOCATION,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111960,rdens4,RIGHT DENSITY,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111961,lsurf4,LEFT SURFACE,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111962,lmorph4,LEFT MORPHOLOGY,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111963,lsten4,LEFT STENOSIS,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111964,lloc4,LEFT LOCATION,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111965,ldens4,LEFT DENSITY,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111966,alert4,ALERT: DOPPLER > 250 cm/s,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111967,rdopp4,DOPPLER MEASUREMENT RIGHT SIDE,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111968,ldopp4,DOPPLER MEASUREMENT LEFT SIDE,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111969,rcqs4,RIGHT COMMON CAROTID IMAGE QUALITY SCORE,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111970,rcscale4,RIGHT COMMON CAROTID IMAGE SCALE - CCA,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111971,rcfwmax4,RIGHT COMMON CAROTID FAR WALL MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111972,rcfwmin4,RIGHT COMMON CAROTID FAR WALL MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111973,rcfwmn4,RIGHT COMMON CAROTID FAR WALL MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111974,rcfwsd4,RIGHT COMMON CAROTID FAR WALL STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111975,rcnwmax4,RIGHT COMMON CAROTID NEAR WALL MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111976,rcnwmin4,RIGHT COMMON CAROTID NEAR WALL MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111977,rcnwmn4,RIGHT COMMON CAROTID NEAR WALL MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111978,rcnwsd4,RIGHT COMMON CAROTID NEAR WALL STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111979,rcvwmax4,RIGHT COMMON CAROTID VESSEL WIDTH MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111980,rcvwmin4,RIGHT COMMON CAROTID VESSEL WIDTH MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111981,rcvwmn4,RIGHT COMMON CAROTID VESSEL WIDTH MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111982,rcvwsd4,RIGHT COMMON CAROTID VESSEL WIDTH STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111983,rclumax4,RIGHT COMMON CAROTID LUMEN MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111984,rclumin4,RIGHT COMMON CAROTID LUMEN MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111985,rclumn4,RIGHT COMMON CAROTID LUMEN MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111986,rclusd4,RIGHT COMMON CAROTID LUMEN STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111987,rcefwmx4,RIGHT COMMON CAROTID EDGE DETECTED FAR WALL MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111988,rcefwmi4,RIGHT COMMON CAROTID EDGE DETECTED FAR WALL MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111989,rcefwmn4,RIGHT COMMON CAROTID EDGE DETECTED FAR WALL MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111990,rcefwsd4,RIGHT COMMON CAROTID EDGE DETECTED FAR WALL STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111991,raqs4,RIGHT ANTERIOR OBLIQUE IMAGE QUALITY SCORE,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111992,rascale4,RIGHT ANTERIOR OBLIQUE IMAGE SCALE - ICA,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111993,rafwmax4,RIGHT ANTERIOR OBLIQUE FAR WALL MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111994,rafwmin4,RIGHT ANTERIOR OBLIQUE FAR WALL MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111995,rafwmn4,RIGHT ANTERIOR OBLIQUE FAR WALL MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111996,rafwsd4,RIGHT ANTERIOR OBLIQUE FAR WALL STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111997,ranwmax4,RIGHT ANTERIOR OBLIQUE NEAR WALL MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111998,ranwmin4,RIGHT ANTERIOR OBLIQUE NEAR WALL MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00111999,ranwmn4,RIGHT ANTERIOR OBLIQUE NEAR WALL MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112000,ranwsd4,RIGHT ANTERIOR OBLIQUE NEAR WALL STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112001,ravwmax4,RIGHT ANTERIOR OBLIQUE VESSEL WIDTH MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112002,ravwmin4,RIGHT ANTERIOR OBLIQUE VESSEL WIDTH MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112003,ravwmn4,RIGHT ANTERIOR OBLIQUE VESSEL WIDTH MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112004,ravwsd4,RIGHT ANTERIOR OBLIQUE VESSEL WIDTH STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112005,ralumax4,RIGHT ANTERIOR OBLIQUE LUMEN MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112006,ralumin4,RIGHT ANTERIOR OBLIQUE LUMEN MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112007,ralumn4,RIGHT ANTERIOR OBLIQUE LUMEN MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112008,ralusd4,RIGHT ANTERIOR OBLIQUE LUMEN STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112009,rlqs4,RIGHT LATERAL OBLIQUE IMAGE QUALITY SCORE,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112010,rlscale4,RIGHT LATERAL OBLIQUE IMAGE SCALE - ICA,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112011,rlfwmax4,RIGHT LATERAL OBLIQUE FAR WALL MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112012,rlfwmin4,RIGHT LATERAL OBLIQUE FAR WALL MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112013,rlfwmn4,RIGHT LATERAL OBLIQUE FAR WALL MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112014,rlfwsd4,RIGHT LATERAL OBLIQUE FAR WALL STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112015,rlnwmax4,RIGHT LATERAL OBLIQUE NEAR WALL MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112016,rlnwmin4,RIGHT LATERAL OBLIQUE NEAR WALL MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112017,rlnwmn4,RIGHT LATERAL OBLIQUE NEAR WALL MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112018,rlnwsd4,RIGHT LATERAL OBLIQUE NEAR WALL STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112019,rlvwmax4,RIGHT LATERAL OBLIQUE VESSEL WIDTH MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112020,rlvwmin4,RIGHT LATERAL OBLIQUE VESSEL WIDTH MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112021,rlvwmn4,RIGHT LATERAL OBLIQUE VESSEL WIDTH MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112022,rlvwsd4,RIGHT LATERAL OBLIQUE VESSEL WIDTH STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112023,rllumax4,RIGHT LATERAL OBLIQUE LUMEN MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112024,rllumin4,RIGHT LATERAL OBLIQUE LUMEN MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112025,rllumn4,RIGHT LATERAL OBLIQUE LUMEN MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112026,rllusd4,RIGHT LATERAL OBLIQUE LUMEN STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112027,rpqs4,RIGHT POSTERIOR OBLIQUE IMAGE QUALITY SCORE,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112028,rpscale4,RIGHT POSTERIOR OBLIQUE IMAGE SCALE - ICA,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112029,rpfwmax4,RIGHT POSTERIOR OBLIQUE FAR WALL MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112030,rpfwmin4,RIGHT POSTERIOR OBLIQUE FAR WALL MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112031,rpfwmn4,RIGHT POSTERIOR OBLIQUE FAR WALL MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112032,rpfwsd4,RIGHT POSTERIOR OBLIQUE FAR WALL STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112033,rpnwmax4,RIGHT POSTERIOR OBLIQUE NEAR WALL MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112034,rpnwmin4,RIGHT POSTERIOR OBLIQUE NEAR WALL MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112035,rpnwmn4,RIGHT POSTERIOR OBLIQUE NEAR WALL MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112036,rpnwsd4,RIGHT POSTERIOR OBLIQUE NEAR WALL STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112037,rpvwmax4,RIGHT POSTERIOR OBLIQUE VESSEL WIDTH MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112038,rpvwmin4,RIGHT POSTERIOR OBLIQUE VESSEL WIDTH MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112039,rpvwmn4,RIGHT POSTERIOR OBLIQUE VESSEL WIDTH MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112040,rpvwsd4,RIGHT POSTERIOR OBLIQUE VESSEL WIDTH STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112041,rplumax4,RIGHT POSTERIOR OBLIQUE LUMEN MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112042,rplumin4,RIGHT POSTERIOR OBLIQUE LUMEN MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112043,rplumn4,RIGHT POSTERIOR OBLIQUE LUMEN MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112044,rplusd4,RIGHT POSTERIOR OBLIQUE LUMEN STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112045,lcqs4,LEFT COMMON CAROTID IMAGE QUALITY SCORE,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112046,lcscale4,LEFT COMMON CAROTID IMAGE SCALE - CCA,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112047,lcfwmax4,LEFT COMMON CAROTID FAR WALL MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112048,lcfwmin4,LEFT COMMON CAROTID FAR WALL MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112049,lcfwmn4,LEFT COMMON CAROTID FAR WALL MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112050,lcfwsd4,LEFT COMMON CAROTID FAR WALL STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112051,lcnwmax4,LEFT COMMON CAROTID NEAR WALL MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112052,lcnwmin4,LEFT COMMON CAROTID NEAR WALL MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112053,lcnwmn4,LEFT COMMON CAROTID NEAR WALL MEAN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112054,lcnwsd4,LEFT COMMON CAROTID NEAR WALL STD DEV,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112055,lcvwmax4,LEFT COMMON CAROTID VESSEL WIDTH MAX,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
phv00112056,lcvwmin4,LEFT COMMON CAROTID VESSEL WIDTH MIN,NUMERIC,pht001528,MESA_AirNRIMT,phs000209,mesa
